"ServiceName","DisplayName"
"AJRouter","AllJoyn Router Service"
"ALG","Application Layer Gateway Service"
"AppIDSvc","Application Identity"
"AppReadiness","App Readiness"
"AppVClient","Microsoft App-V Client"
"AppXSvc","AppX Deployment Service (AppXSVC)"
"AssignedAccessManagerSvc","AssignedAccessManager Service"
"AxInstSV","ActiveX Installer (AxInstSV)"
"BcastDVRUserService_a1f07","GameDVR and Broadcast User Service_a1f07"
"BDESVC","BitLocker Drive Encryption Service"
"BITS","Background Intelligent Transfer Service"
"BluetoothUserService_a1f07","Bluetooth User Support Service_a1f07"
"BTAGService","Bluetooth Audio Gateway Service"
"bthserv","Bluetooth Support Service"
"camsvc","Capability Access Manager Service"
"CaptureService_a1f07","CaptureService_a1f07"
"CertPropSvc","Certificate Propagation"
"ClipSVC","Client License Service (ClipSVC)"
"ConsentUxUserSvc_a1f07","ConsentUX_a1f07"
"CscService","Offline Files"
"defragsvc","Optimize drives"
"DeviceAssociationService","Device Association Service"
"DevicePickerUserSvc_a1f07","DevicePicker_a1f07"
"DevicesFlowUserSvc_a1f07","DevicesFlow_a1f07"
"DevQueryBroker","DevQuery Background Discovery Broker"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service"
"diagsvc","Diagnostic Execution Service"
"DisplayEnhancementService","Display Enhancement Service"
"DmEnrollmentSvc","Device Management Enrollment Service"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service"
"DoSvc","Delivery Optimization"
"dot3svc","Wired AutoConfig"
"DPS","Diagnostic Policy Service"
"DsmSvc","Device Setup Manager"
"DsSvc","Data Sharing Service"
"DusmSvc","Data Usage"
"Eaphost","Extensible Authentication Protocol"
"EFS","Encrypting File System (EFS)"
"embeddedmode","Embedded Mode"
"EntAppSvc","Enterprise App Management Service"
"Fax","Fax"
"fdPHost","Function Discovery Provider Host"
"FDResPub","Function Discovery Resource Publication"
"fhsvc","File History Service"
"FrameServer","Windows Camera Frame Server"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)"
"GoogleUpdaterInternalService130.0.6679.0","GoogleUpdater InternalService 130.0.6679.0 (GoogleUpdaterInternalService130.0.6679.0)"
"GoogleUpdaterService130.0.6679.0","GoogleUpdater Service 130.0.6679.0 (GoogleUpdaterService130.0.6679.0)"
"gpsvc","Group Policy Client"
"GraphicsPerfSvc","GraphicsPerfSvc"
"hidserv","Human Interface Device Service"
"HvHost","HV Host Service"
"icssvc","Windows Mobile Hotspot Service"
"IKEEXT","IKE and AuthIP IPsec Keying Modules"
"InstallService","Microsoft Store Install Service"
"IpxlatCfgSvc","IP Translation Configuration Service"
"irmon","Infrared monitor service"
"KtmRm","KtmRm for Distributed Transaction Coordinator"
"lfsvc","Geolocation Service"
"lltdsvc","Link-Layer Topology Discovery Mapper"
"LxpSvc","Language Experience Service"
"MapsBroker","Downloaded Maps Manager"
"MessagingService_a1f07","MessagingService_a1f07"
"MSiSCSI","Microsoft iSCSI Initiator Service"
"msiserver","Windows Installer"
"NaturalAuthentication","Natural Authentication"
"NcaSvc","Network Connectivity Assistant"
"NcdAutoSetup","Network Connected Devices Auto-Setup"
"Netlogon","Netlogon"
"Netman","Network Connections"
"NetSetupSvc","Network Setup Service"
"NetTcpPortSharing","Net.Tcp Port Sharing Service"
"NgcCtnrSvc","Microsoft Passport Container"
"NgcSvc","Microsoft Passport"
"p2pimsvc","Peer Networking Identity Manager"
"p2psvc","Peer Networking Grouping"
"PeerDistSvc","BranchCache"
"perceptionsimulation","Windows Perception Simulation Service"
"PerfHost","Performance Counter DLL Host"
"PhoneSvc","Phone Service"
"PimIndexMaintenanceSvc_a1f07","Contact Data_a1f07"
"pla","Performance Logs & Alerts"
"PNRPAutoReg","PNRP Machine Name Publication Service"
"PNRPsvc","Peer Name Resolution Protocol"
"PolicyAgent","IPsec Policy Agent"
"PrintNotify","Printer Extensions and Notifications"
"PrintWorkflowUserSvc_a1f07","PrintWorkflow_a1f07"
"PushToInstall","Windows PushToInstall Service"
"QWAVE","Quality Windows Audio Video Experience"
"RasAuto","Remote Access Auto Connection Manager"
"RasMan","Remote Access Connection Manager"
"RemoteAccess","Routing and Remote Access"
"RemoteRegistry","Remote Registry"
"RetailDemo","Retail Demo Service"
"RmSvc","Radio Management Service"
"RpcLocator","Remote Procedure Call (RPC) Locator"
"SCardSvr","Smart Card"
"ScDeviceEnum","Smart Card Device Enumeration Service"
"SCPolicySvc","Smart Card Removal Policy"
"SDRSVC","Windows Backup"
"seclogon","Secondary Logon"
"SEMgrSvc","Payments and NFC/SE Manager"
"Sense","Windows Defender Advanced Threat Protection Service"
"SensorDataService","Sensor Data Service"
"SensorService","Sensor Service"
"SensrSvc","Sensor Monitoring Service"
"SessionEnv","Remote Desktop Configuration"
"SharedAccess","Internet Connection Sharing (ICS)"
"SharedRealitySvc","Spatial Data Service"
"shpamsvc","Shared PC Account Manager"
"smphost","Microsoft Storage Spaces SMP"
"SmsRouter","Microsoft Windows SMS Router Service."
"SNMPTRAP","SNMP Trap"
"spectrum","Windows Perception Service"
"sppsvc","Software Protection"
"ssh-agent","OpenSSH Authentication Agent"
"SstpSvc","Secure Socket Tunneling Protocol Service"
"stisvc","Windows Image Acquisition (WIA)"
"svsvc","Spot Verifier"
"swprv","Microsoft Software Shadow Copy Provider"
"TapiSrv","Telephony"
"TermService","Remote Desktop Services"
"TieringEngineService","Storage Tiers Management"
"TrkWks","Distributed Link Tracking Client"
"TrustedInstaller","Windows Modules Installer"
"tzautoupdate","Auto Time Zone Updater"
"UevAgentService","User Experience Virtualization Service"
"UmRdpService","Remote Desktop Services UserMode Port Redirector"
"UnistoreSvc_a1f07","User Data Storage_a1f07"
"upnphost","UPnP Device Host"
"UserDataSvc_a1f07","User Data Access_a1f07"
"VacSvc","Volumetric Audio Compositor Service"
"vds","Virtual Disk"
"vmicguestinterface","Hyper-V Guest Service Interface"
"vmicheartbeat","Hyper-V Heartbeat Service"
"vmickvpexchange","Hyper-V Data Exchange Service"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service"
"vmicshutdown","Hyper-V Guest Shutdown Service"
"vmictimesync","Hyper-V Time Synchronization Service"
"vmicvmsession","Hyper-V PowerShell Direct Service"
"vmicvss","Hyper-V Volume Shadow Copy Requestor"
"vmvss","VMware Snapshot Provider"
"VSS","Volume Shadow Copy"
"W32Time","Windows Time"
"WaaSMedicSvc","Windows Update Medic Service"
"WalletService","WalletService"
"WarpJITSvc","WarpJITSvc"
"wbengine","Block Level Backup Engine Service"
"WbioSrvc","Windows Biometric Service"
"wcncsvc","Windows Connect Now - Config Registrar"
"WdiServiceHost","Diagnostic Service Host"
"WdiSystemHost","Diagnostic System Host"
"WebClient","WebClient"
"Wecsvc","Windows Event Collector"
"WEPHOSTSVC","Windows Encryption Provider Host Service"
"wercplsupport","Problem Reports and Solutions Control Panel Support"
"WerSvc","Windows Error Reporting Service"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service"
"WiaRpc","Still Image Acquisition Events"
"WinRM","Windows Remote Management (WS-Management)"
"wisvc","Windows Insider Service"
"WlanSvc","WLAN AutoConfig"
"wlidsvc","Microsoft Account Sign-in Assistant"
"wlpasvc","Local Profile Assistant Service"
"WManSvc","Windows Management Service"
"wmiApSrv","WMI Performance Adapter"
"WMPNetworkSvc","Windows Media Player Network Sharing Service"
"workfolderssvc","Work Folders"
"WpcMonSvc","Parental Controls"
"WPDBusEnum","Portable Device Enumerator Service"
"WSearch","Windows Search"
"wuauserv","Windows Update"
"WwanSvc","WWAN AutoConfig"
"XblAuthManager","Xbox Live Auth Manager"
"XblGameSave","Xbox Live Game Save"
"XboxGipSvc","Xbox Accessory Management Service"
"XboxNetApiSvc","Xbox Live Networking Service"
